"REF_DATE","GEO","DGUID","Multiplier type","Variable","Industry","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2016A000011124","Direct multiplier","Output","Total industries","Per dollar of output","377","units","0","v1061939711","1.1.1.1","1.000","","","","3"
"2021","Canada","2016A000011124","Direct multiplier","Output","Crop production (except cannabis, greenhouse, nursery and floriculture production) [BS111A00]","Per dollar of output","377","units","0","v1061939482","1.1.1.2","1.000","","","","3"
"2021","Canada","2016A000011124","Direct multiplier","Output","Greenhouse, nursery and floriculture production (except cannabis) [BS1114A0]","Per dollar of output","377","units","0","v1078979326","1.1.1.238","1.000","","","","3"
"2021","Canada","2016A000011124","Direct multiplier","Output","Cannabis production (licensed) [BS111CL0]","Per dollar of output","377","units","0","v1078979327","1.1.1.239","1.000","","","","3"
"2021","Canada","2016A000011124","Direct multiplier","Output","Cannabis production (unlicensed) [BS111CU0]","Per dollar of output","377","units","0","v1078979328","1.1.1.240","1.000","","","","3"
"2021","Canada","2016A000011124","Direct multiplier","Output","Animal production (except aquaculture) [BS112A00]","Per dollar of output","377","units","0","v1061939484","1.1.1.4","1.000","","","","3"
"2021","Canada","2016A000011124","Direct multiplier","Output","Aquaculture [BS112500]","Per dollar of output","377","units","0","v1061939483","1.1.1.5","1.000","","","","3"
"2021","Canada","2016A000011124","Direct multiplier","Output","Forestry and logging [BS113000]","Per dollar of output","377","units","0","v1061939485","1.1.1.6","1.000","","","","3"
"2021","Canada","2016A000011124","Direct multiplier","Output","Fishing, hunting and trapping [BS114000]","Per dollar of output","377","units","0","v1061939486","1.1.1.7","1.000","","","","3"
"2021","Canada","2016A000011124","Direct multiplier","Output","Support activities for crop and animal production [BS115A00]","Per dollar of output","377","units","0","v1061939488","1.1.1.8","1.000","","","","3"
"2021","Canada","2016A000011124","Direct multiplier","Output","Support activities for forestry [BS115300]","Per dollar of output","377","units","0","v1061939487","1.1.1.9","1.000","","","","3"
"2021","Canada","2016A000011124","Direct multiplier","Output","Oil and gas extraction (except oil sands) [BS211110]","Per dollar of output","377","units","0","v1078979329","1.1.1.241","1.000","","","","3"
"2021","Canada","2016A000011124","Direct multiplier","Output","Oil sands extraction [BS211140]","Per dollar of output","377","units","0","v1078979330","1.1.1.242","1.000","","","","3"
"2021","Canada","2016A000011124","Direct multiplier","Output","Coal mining [BS212100]","Per dollar of output","377","units","0","v1061939491","1.1.1.12","1.000","","","","3"
"2021","Canada","2016A000011124","Direct multiplier","Output","Iron ore mining [BS212210]","Per dollar of output","377","units","0","v1061939492","1.1.1.13","1.000","","","","3"
"2021","Canada","2016A000011124","Direct multiplier","Output","Gold and silver ore mining [BS212220]","Per dollar of output","377","units","0","v1061939493","1.1.1.14","1.000","","","","3"
"2021","Canada","2016A000011124","Direct multiplier","Output","Copper, nickel, lead and zinc ore mining [BS212230]","Per dollar of output","377","units","0","v1061939494","1.1.1.15","1.000","","","","3"
"2021","Canada","2016A000011124","Direct multiplier","Output","Other metal ore mining [BS212290]","Per dollar of output","377","units","0","v1061939495","1.1.1.16","1.000","","","","3"
"2021","Canada","2016A000011124","Direct multiplier","Output","Stone mining and quarrying [BS212310]","Per dollar of output","377","units","0","v1061939496","1.1.1.17","1.000","","","","3"
"2021","Canada","2016A000011124","Direct multiplier","Output","Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying [BS212320]","Per dollar of output","377","units","0","v1061939497","1.1.1.18","1.000","","","","3"
"2021","Canada","2016A000011124","Direct multiplier","Output","Diamond mining [BS212392]","Per dollar of output","377","units","0","v1061939498","1.1.1.19","1.000","","","","3"
"2021","Canada","2016A000011124","Direct multiplier","Output","Other non-metallic mineral mining and quarrying (except diamond and potash) [BS21239A]","Per dollar of output","377","units","0","v1061939500","1.1.1.20","1.000","","","","3"
"2021","Canada","2016A000011124","Direct multiplier","Output","Potash mining [BS212396]","Per dollar of output","377","units","0","v1061939499","1.1.1.21","1.000","","","","3"
"2021","Canada","2016A000011124","Direct multiplier","Output","Support activities for oil and gas extraction [BS21311A]","Per dollar of output","377","units","0","v1061939501","1.1.1.22","1.000","","","","3"
"2021","Canada","2016A000011124","Direct multiplier","Output","Support activities for mining [BS21311B]","Per dollar of output","377","units","0","v1061939502","1.1.1.23","1.000","","","","3"
"2021","Canada","2016A000011124","Direct multiplier","Output","Electric power generation, transmission and distribution [BS221100]","Per dollar of output","377","units","0","v1061939503","1.1.1.24","1.000","","","","3"
"2021","Canada","2016A000011124","Direct multiplier","Output","Natural gas distribution [BS221200]","Per dollar of output","377","units","0","v1061939504","1.1.1.25","1.000","","","","3"
